sha256	path
9d8e1c2f1c89f808206c65982fa058369de1af7be19ee325a2f3e95c48ab8052	/usr/bin/chfn
d7aad828e159b1d570f643d2cbe44d551a5b9bc9b2870dab3fd5cbc5260e749d	/usr/bin/chsh
d278775c1528dd32efc85c2cb322423ee93aa8dcf76aaa595f7022d427910704	/usr/bin/fusermount3
b9ef1bde0bde1b6839a0f55d43a606645723436932f072e3bf71e4c1a0ed4c06	/usr/bin/gpasswd
ac5aa68d34add5a33ae81ac3a971aea677c4032d768aab5a3c4c2707f728885e	/usr/bin/mount
572ab15948df3969e929b902641c3a42e76dce7d71a22fbc58011ca89d8d965e	/usr/bin/newgrp
ca3fc307dda8259f585bb38c70e82bd15af61e8574cd0d6e430292e328bb3477	/usr/bin/passwd
c74311fe5636b7d7f9a56239fa8adeeab12ba86fe7d41b91afa85bf9bbdae78b	/usr/bin/su
136f2e48b0295b9fc595b8259cf2411ac43f27ddbfe02b956649ddaa2e92b9fa	/usr/bin/sudo
2ea59b57d249d58c64b028b2acf6118b62dc3ba89012a1cf4ff5f5a9891f513d	/usr/bin/umount
013d650c50303b3b1e6de5c1ac7cf54e4b7f4b495e395505d6108c3bcaa03cf6	/usr/lib/openssh/ssh-keysign
247c6edddaad60021a93cea19994a4f66f27c897890b18281ab144fb05e9db8f	/usr/lib/polkit-1/polkit-agent-helper-1
